State_UT,Year,POPULATION,Litracy_person,Litracy_rate,Area(sqkm),Total_crime,Crime_rate
JAMMU AND KASHMIR,2002,10384222.6,5051062.7,67.16,222236,133,1.2807891849313786
JAMMU AND KASHMIR,2003,10624745.2,5294839.4,67.16,222236,133,1.2517947253925676
JAMMU AND KASHMIR,2004,10865267.8,5538616.1,67.16,222236,133,1.2240839567709505
JAMMU AND KASHMIR,2005,11105790.4,5782392.8,67.16,222236,133,1.1975734748244484
JAMMU AND KASHMIR,2006,11346313.0,6026169.5,67.16,222236,133,1.172186947425124
JAMMU AND KASHMIR,2007,11586835.6,6269946.2,67.16,222236,133,1.1478543805350965
JAMMU AND KASHMIR,2008,11827358.2,6513722.9,67.16,222236,133,1.1245114737456756
JAMMU AND KASHMIR,2009,12067880.8,6757499.6,67.16,222236,133,1.1020990528842478
JAMMU AND KASHMIR,2010,12308403.4,7001276.300000001,67.16,222236,133,1.0805625691468643
JAMMU AND KASHMIR,2011,12548926.0,7245053.0,67.16,222236,133,1.0598516558309452
JAMMU AND KASHMIR,2012,12789448.6,7488829.7,67.16,222236,133,1.0399197350853735
JAMMU AND KASHMIR,2013,13029971.2,7732606.4,67.16,222236,133,1.020723668215015
JAMMU AND KASHMIR,2014,13270493.8,7976383.1,67.16,222236,133,1.0022234440138165
JAMMU AND KASHMIR,2015,13511016.4,8220159.800000001,67.16,222236,133,0.9843819003875978
HIMACHAL PRADESH,2001,6077900.0,4041621.0,82.8,55673,880,14.47868507214663
HIMACHAL PRADESH,2002,6155760.9,4147909.5,82.8,55673,831,13.499549665744814
HIMACHAL PRADESH,2003,6233621.8,4254198.0,82.8,55673,717,11.502141499825992
HIMACHAL PRADESH,2004,6311482.7,4360486.5,82.8,55673,812,12.865439685036293
HIMACHAL PRADESH,2005,6389343.6,4466775.0,82.8,55673,788,12.333035274546823
HIMACHAL PRADESH,2006,6467204.5,4573063.5,82.8,55673,790,12.21547888272282
